,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
227,Kor_Chiwoo,30,9,60%,0.4,94 354
227,DerpMidIsGod,15,9,60%,1.0,108 964
227,ChernoAlphaT90,15,10,60%,0.47,77 990
227,bluetrooper2544,15,10,60%,1.13,78 403
227,Lochib,15,10,60%,0.67,55 817
227,ProjetD_16,20,10,60%,0.6,65 648
227,IIMade,15,9,60%,0.73,47 540
227,MoJoMoJi,20,10,60%,0.85,92 681
227,bearsanbeats,20,11,60%,1.0,96 351
227,IronHorseGreen1,15,11,60%,0.6,58 833
227,XENEIZE1792,25,11,60%,0.24,55 469
227,soccerruhl13,15,12,60%,1.07,101 083
227,tenfingerstentoes,25,10,60%,0.76,50 201
227,froggy119,20,10,60%,0.8,60 634
227,StraikerMS,25,9,60%,1.2,98 116
227,lacsala,15,11,60%,0.2,25 116
227,PUERTO_RICO_A,30,9,60%,0.6,96 126
227,TheRabbit005,15,12,60%,0.73,75 242
227,ArayaSouren,20,10,60%,0.75,155 008
227,air38400,15,9,60%,0.93,109 346
227,DeadCromrise,15,10,60%,0.73,85 029
227,You_stand_and_never_die,20,10,60%,0.8,84 955
227,Colin_2020_2020,20,9,60%,0.8,107 937
259,DemizedEmpire,32,10,59.38%,0.72,63 937
260,INVICTO79,27,9,59.26%,1.04,68 831
261,Fox_Red3,22,10,59.09%,0.36,48 741
261,Uncorrupted,22,8,59.09%,0.91,102 816
261,zoto724,22,10,59.09%,0.64,77 522
261,Fleet_1,22,10,59.09%,0.86,94 261
261,Pukapumbra,22,9,59.09%,0.73,120 806
261,POT_HUNSHUI,22,9,59.09%,0.68,108 142
267,I_Yeet_Potatoes,39,7,58.97%,0.72,106 463
268,Orangeflameyphoenix,17,10,58.82%,0.71,83 282
268,Watch_Wolf,17,13,58.82%,0.65,76 275
268,SyDeimon_45,17,10,58.82%,0.82,94 785
268,Crizit,17,9,58.82%,0.41,72 114
268,deadmanAtTheMast,17,14,58.82%,0.65,66 028
268,FrozenZomb1e,17,11,58.82%,0.82,75 535
268,Willard_the_Rat,17,10,58.82%,0.65,98 285
268,The_Painted_Target,17,14,58.82%,1.29,92 080
268,UrNemesis,17,10,58.82%,0.71,69 217
268,MasterCeltic,17,11,58.82%,0.41,81 739
268,SternBonk,17,9,58.82%,0.65,103 271
268,CV60_Saratoga,17,8,58.82%,0.59,107 825
280,rockmanaxl,29,9,58.62%,0.86,108 884
280,EliteViperSlaya,29,10,58.62%,0.79,88 752
280,JessieTheKitty,29,9,58.62%,1.1,93 976
283,kentaggie,53,8,58.49%,0.58,60 786
