,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
67,Goruss,23,9,69.57%,0.78,76 272
68,Prince241,23,9,69.57%,0.61,40 904
69,CVs_are_cancer,23,10,69.57%,0.74,47 842
70,RemoveCVcomplainers,49,5,69.39%,1.22,125 218
71,BakaTofu,26,8,69.23%,1.19,127 547
72,Soviet_Bagutte,42,5,69.05%,1.07,100 087
73,CaptainBB64,16,11,68.75%,0.69,71 461
74,Akitsushima_Kai,16,11,68.75%,1.06,124 059
75,Hopar_Sha,16,8,68.75%,1.19,97 582
76,YTH719,16,10,68.75%,0.94,115 928
77,WillFireForFood,19,8,68.42%,0.95,80 209
78,Thedemon21,19,10,68.42%,1.26,123 320
79,_Vexed_Chaos_,41,7,68.29%,0.9,105 980
80,vegasriddler,22,9,68.18%,0.73,90 005
81,39Saku_Chan,22,8,68.18%,0.77,88 318
82,curlingcheftrevor_1,25,7,68%,0.68,59 403
83,Grand_Elector,25,8,68%,0.64,60 913
84,Nai_John,25,9,68%,0.92,109 243
85,ichbineineeinzigekugel,31,5,67.74%,0.87,145 997
86,evendervaulz,33,8,66.67%,0.67,51 035
87,_Guest_,18,10,66.67%,0.39,50 024
88,MCC1776,15,10,66.67%,0.87,86 005
89,CatalKailo,15,10,66.67%,1.2,92 827
90,_TheDesertFox__,18,10,66.67%,1.33,116 731
91,sirrobinx,21,10,66.67%,0.95,111 220
92,Drazhen_JEFF,21,8,66.67%,0.57,106 572
93,Yamamoto1941,15,9,66.67%,1.4,86 223
94,Router51,15,10,66.67%,0.53,73 366
95,red_cricket,15,9,66.67%,0.6,73 535
96,capitankelvinxD,27,8,66.67%,0.67,67 872
97,Viito,15,10,66.67%,0.67,79 893
98,Jakespiere1,21,11,66.67%,0.76,82 661
99,WhiskyTangoFoxtrot_3,15,9,66.67%,0.67,62 741
87,EmmanuelMX,18,9,66.67%,0.83,95 354
87,Todoko,18,9,66.67%,1.11,106 223
87,dedao2005,21,9,66.67%,0.9,130 079
87,1246138180,15,9,66.67%,0.6,52 335
87,graafferdinand,15,10,66.67%,1.07,107 346
87,UNSC_Prowler,21,10,66.67%,0.57,51 461
107,Sega_NeptuneNepgear,35,8,65.71%,0.6,99 809
108,Gravedigger_USA,26,9,65.38%,0.69,100 720
108,Ahskance,26,8,65.38%,1.15,108 154
110,BonkLeader,23,9,65.22%,1.17,94 440
110,MightOfMjolnir,23,14,65.22%,0.7,68 071
110,LeozMaxwellJiliumz,23,8,65.22%,1.0,77 834
110,Tyrisfal,23,8,65.22%,1.26,110 767
110,DeepHazard,23,10,65.22%,0.57,43 944
115,DolphinQueen,20,18,65%,1.05,120 699
115,ANC,20,10,65%,0.8,82 054
115,Auroraz,20,8,65%,0.65,83 168
115,ACUPOFGR,20,9,65%,0.8,80 773
119,Probe007,17,9,64.71%,0.41,81 837
119,Hobbleman,17,10,64.71%,1.12,73 577
119,TurretBonk,17,9,64.71%,1.29,80 107
119,kehfee,17,10,64.71%,1.71,105 520
119,Garo_D,17,11,64.71%,0.53,59 251
